;ID;Region;Latitude;Longitude
1;D1005;B;30.672651;-9.480813
2;D1008;F;34.839048;-1.381317
3;D1109;B;31.122728;-7.920315
4;D1121;B;30.865567;-8.382075
5;D1124;B;30.571324;-9.283294
6;D113;A;32.49;-7.9
7;D1132;B;31.192528;-7.949664
8;D114;A;32.49;-7.9
9;D115;A;32.49;-7.9
10;D122;E;34.699;-3.86
11;D123;E;34.699;-3.86
12;D125;D;34.18;-4.02
13;D128;E;35.19;-4.05
14;D130;E;34.6187;-3.8653
15;D135;A;32.1393;-7.041174
16;D141;E;35.36;-5.17
17;D142;E;35.310005;-5.247265
18;D143;E;35.36;-5.17
19;D148;E;35.14;-4.21
20;D152;E;34.94;-5.91
21;D161;E;35.54;-5.22
22;D163;E;35.06;-5.21
23;D164;E;35.06;-5.21
24;D165;E;35.06;-5.21
25;D364;B;30.414444;-9.583889
26;D399;B;31.28788;-7.381271
27;D407;D;33.35003;-5.015892
28;D432;H;32.529808;20.577264
29;D436;H;32.810336;21.862587
30;D500;I;;
31;D563;G;35.36725;6.772064
32;D564;G;35.36725;6.772064
33;D565;G;35.36725;6.772064
34;D599;G;35.161414;5.631614
35;D71;B;31.286296;-7.381064
36;D72;B;31.286296;-7.381064
37;D798;B;31.219482;-7.8439
38;D845;G;35.464389;7.084694
39;D846;G;35.464389;7.084694
40;D847;G;35.464389;7.084694
41;D848;G;35.464389;7.084694
42;D849;G;35.464389;7.084694
43;K218;C;30.41915;-8.62565
44;K223;B;30.517583;-9.593867
45;K227;C;30.2571;-8.48485
46;K229;B;31.265867;-8.865717
47;K542;G;35.807033;9.853983
