Cluster,ElytrenLänge,ElytrenBREITE,FlügelLÄNGE,FlügelBREITE,PronotumHalsLÄNGE,PronotumLÄNGE,PronotumBREITE,KopfBREITE,KopfHÖHE,Augenabstand,FemurLÄNGE,FemurBREITE,TibiaLÄNGE
Group4,0.749277158,0.158612144,NA,NA,0.215613383,0.14787278,0.189178026,0.156959934,0.253614209,0.057414292,0.466749277,0.157786039,0.392399835
Group4,0.746339363,0.158053402,NA,NA,0.210163652,0.170542636,0.170542636,0.153316107,0.247200689,0.054694229,0.489664083,0.180878553,0.402239449
Group4,0.765762171,0.173982442,0.716679968,NA,0.202314445,0.131284916,0.171189146,0.156823623,0.247805267,0.057063049,0.469273743,0.167198723,0.39066241
Group4,0.763370333,0.147325933,NA,NA,0.18617558,0.137739657,0.15136226,0.150353179,0.228052472,0.047426842,0.481836529,0.162462159,0.402119072
Group4,0.772427775,0.17739483,0.736948809,0.48707552,0.194120628,0.121642169,0.159148505,0.152559554,0.234668018,0.056259503,NA,NA,NA
Group4,0.786620026,0.180148666,0.720594666,0.470922606,0.210756449,0.133799738,0.173152602,0.150852645,0.245736773,0.073021425,0.480104941,0.163970267,0.374726716
Group4,0.768711019,0.175155925,0.681392931,0.45997921,0.194386694,0.123180873,0.165800416,0.148648649,0.228170478,0.061330561,0.469334719,0.177754678,0.397609148
Group4,0.805544554,0.163564356,0.731089109,0.453465347,0.191287129,0.137821782,0.153663366,0.132673267,0.224554455,0.05029703,NA,NA,NA
Group4,0.793568877,0.171893609,0.733227471,0.450575625,0.20047638,0.126637555,0.16395395,0.146883684,0.241762604,0.059547439,0.455736403,0.16673283,0.352917825
Group4,0.781521184,0.149566105,0.732006126,0.44920878,0.198570699,0.115875447,0.158754467,0.158754467,0.231240429,0.046962736,0.494640123,0.139356815,0.381827463
Group4,0.778795181,0.171084337,0.694457831,0.448192771,0.183614458,0.114216867,0.151325301,0.14746988,0.219277108,0.049638554,0.472771084,0.157108434,0.394698795
Group4,0.768856448,0.16836983,NA,0.447688564,0.200486618,0.119221411,0.149878345,0.141119221,0.218491484,0.061313869,0.449635036,0.172262774,0.368856448
Group4,0.781376518,0.18668466,0.69545659,0.447593342,0.208277103,0.147998201,0.171390013,0.157444894,0.246963563,0.068825911,0.483130904,0.16194332,0.379217274
Group4,0.747821878,0.160696999,0.713939981,0.446757018,0.176669894,0.109874153,0.137463698,0.144724105,0.226524685,0.052758955,0.460793804,0.15392062,0.374152953
Group4,0.768459435,0.161804923,0.704193254,0.437101185,0.201458523,0.133546035,0.170009116,0.151777575,0.232452142,0.067912489,0.451686418,0.152689152,0.368732908
Group4,0.770941055,0.165460186,0.707342296,0.435367115,0.175284385,0.110651499,0.160289555,0.147880041,0.223888314,0.051189245,0.447776629,0.155635988,0.385211996
Group4,0.75279392,0.160035762,0.719713903,0.421546714,0.200715244,0.133661153,0.180599017,0.143495753,0.224407689,0.056772463,0.443004023,0.159588735,0.348234242
Group4,0.72793177,0.149680171,0.665245203,0.402985075,0.189339019,0.121535181,0.158635394,0.142004264,0.220469083,0.04989339,0.439658849,0.151812367,NA
Group4,0.765044479,0.164311879,0.714809001,NA,0.192569335,0.123495552,0.151753009,0.150706436,0.233908948,0.06122449,0.43956044,0.157509158,0.384092098
Group4,0.742065491,0.175314861,0.708312343,0.461964736,0.19395466,0.129974811,0.155163728,0.152141058,0.235768262,0.069017632,0.497229219,0.14559194,0.384382872
Group4,0.788489916,0.169699951,0.718150516,0.483521889,0.181505165,0.122479095,0.153959666,0.151500246,0.211510084,0.054599115,0.450565667,NA,0.37432366
Group4,0.761627907,0.174418605,0.726744186,0.470401691,0.178118393,0.109936575,0.158562368,0.160147992,0.24154334,0.057082452,0.451374207,0.158033827,0.363107822
Group4,0.780392157,0.188235294,0.702521008,0.467226891,0.198319328,0.122689076,0.159103641,0.158543417,0.235854342,0.067787115,0.467226891,0.17254902,0.407843137
Group4,0.7885763,0.189684569,0.700341006,0.461636829,0.204603581,0.124893436,0.165814152,0.148337596,0.240835465,0.060954817,0.466325661,0.160699062,0.385763001
Group4,0.764736568,0.161189358,0.715701617,0.458007303,0.191966615,0.115805947,0.152842984,0.149191445,0.222222222,0.061032864,0.429838289,0.139280125,0.371935316
Group4,0.775927688,0.171741199,0.741674596,0.452426261,0.196479543,0.118934348,0.164605138,0.140342531,0.197906755,0.049000951,0.450523311,0.151760228,0.369172217
Group4,0.766427388,0.166758697,0.72777471,0.447818885,0.182219768,0.117062396,0.154058531,0.156819437,0.231916068,0.067366096,0.473771397,0.15350635,0.389287686
Group4,0.77027027,0.153879686,0.695292066,0.428945074,0.203574542,0.129032258,0.170008718,0.158674804,0.23016565,0.055797733,0.451176983,0.152136007,0.383609416
Group4,0.788328388,0.169634026,0.739861523,0.46983185,0.175074184,0.129080119,0.148367953,0.150346192,0.221562809,0.060830861,0.453511375,0.146389713,0.3743818
Group4,0.781326781,0.176494676,0.737919738,0.466830467,0.199426699,0.132678133,0.16994267,0.151105651,0.253480753,0.061834562,0.468468468,0.158886159,0.364864865
Group4,0.775216138,0.164985591,0.683357349,0.46073487,0.198126801,0.135446686,0.170389049,0.147334294,0.240634006,0.055475504,0.463616715,0.159221902,0.353025937
Group4,0.791105121,0.17115903,0.718778077,0.469451932,0.195867026,0.120395328,0.167115903,0.150943396,0.238993711,0.059748428,0.477088949,0.168014376,0.400269542
Group4,0.761806131,0.165285833,0.714581607,0.465202983,0.208782104,0.135459818,0.166528583,0.148715824,0.233222867,0.050538525,0.487158244,0.173570837,0.386909693
Group4,0.795712484,0.164354771,0.721311475,0.456073981,0.207650273,0.13282892,0.157629256,0.149222362,0.239176124,0.057587222,0.481294662,0.164354771,0.36443884
Group4,0.764227642,0.170223577,0.699186992,0.453252033,0.193597561,0.112296748,0.148882114,0.155995935,0.237804878,0.043699187,0.482723577,0.153455285,0.401422764
Group4,0.787351443,0.182937182,0.701612903,0.4524618,0.213073005,0.145585739,0.172750424,0.146434635,0.235993209,0.068336163,0.493633277,0.173174873,0.398981324
Group4,0.769155686,0.1556857,0.715470961,0.452415813,0.19375305,0.135187897,0.156173743,0.148365056,0.235724744,0.04636408,0.479258175,0.142020498,0.385553929
Group4,0.77151463,0.162650602,0.687607573,0.44363167,0.209982788,0.139845095,0.162650602,0.148450947,0.2267642,0.047762478,0.472461274,0.165232358,0.354561102
Group1,0.779301746,0.173732336,0.709891937,0.46882793,0.187448047,0.118869493,0.162510391,0.145054032,0.237323358,0.049459684,0.44638404,0.14713217,0.362427265
Group1,0.789345064,0.163734115,0.715053763,0.467741935,0.176930596,0.119257087,0.143206256,0.143206256,0.228739003,0.05083089,0.4257087,0.144183773,0.392473118
Group1,0.770475723,0.155958803,0.748406081,0.467385974,0.179499755,0.117214321,0.140264836,0.140755272,0.234428641,0.056890633,0.440411967,0.141736145,0.381069152
Group1,0.801421801,0.162085308,0.741706161,0.465876777,0.177251185,0.119905213,0.142180095,0.139810427,0.21042654,0.062559242,0.461137441,0.149763033,0.383886256
Group1,0.781355298,0.177461625,0.727817297,0.460501685,0.188318982,0.122426058,0.147884687,0.131411456,0.226506926,0.049045301,0.426057656,0.145263946,0.329090228
Group1,0.803249097,0.157942238,0.744584838,0.443140794,0.171931408,0.135379061,0.154783394,0.136281588,0.230595668,0.037454874,0.426895307,0.130415162,0.315433213
Group2,0.792905582,0.128847157,NA,NA,0.1476265,0.095461659,0.138758477,0.146061555,0.228482003,0.048513302,0.40323422,0.121544079,0.389149713
Group2,0.782077393,0.16904277,0.708248473,0.504582485,0.161405295,0.117107943,0.145112016,0.146130346,0.223523422,0.045315682,0.454175153,0.132892057,0.383401222
Group2,0.806291391,0.172737307,0.726269316,0.407836645,0.173289183,0.118101545,0.142384106,0.146247241,0.233443709,0.040286976,0.460816777,0.144039735,0.395143488
Group4,0.790402897,0.157990041,0.716613852,0.438207334,0.171118153,0.100045269,0.14893617,0.141693074,0.220461747,0.055681304,0.452240833,0.13354459,0.372114079
Group3,0.771366594,0.147505423,0.728850325,0.431236443,NA,NA,0.157049892,0.139262473,0.21691974,0.053796095,NA,NA,NA
Group2,0.792106292,0.161000391,0.749511528,NA,0.17780383,0.121531848,0.152012505,0.133645955,0.236029699,0.042985541,0.435717077,0.136381399,0.349355217
